"","Segment_number","HubDist2","Presence","Year","Seg.2","HubDist2.2","Presence.2","Year.2","Change"
"96","386",4.96801604431413,1,"2007","386",4.96801604431413,1,"2018",0
"97","382",5.22002362033742,1,"2007","382",5.22002362033742,1,"2018",0
"98","381",5.21381496415024,1,"2007","381",5.21381496415024,1,"2018",0
"99","380",5.21081805779413,1,"2007","380",5.21081805779413,1,"2018",0
"100","379",5.21212569701447,1,"2007","379",5.21212569701447,1,"2018",0
"101","378",5.23876010159583,1,"2007","378",5.23876010159583,1,"2018",0
"102","377",5.2983037882999,1,"2007","377",5.2983037882999,1,"2018",0
"103","373",5.40175380497464,1,"2007","373",5.40175380497464,1,"2018",0
"104","370",5.46124535594594,1,"2007","370",5.46124535594594,1,"2018",0
"105","372",5.42648164197703,1,"2007","372",5.42648164197703,1,"2018",0
"106","371",5.45221743462497,1,"2007","371",5.45221743462497,1,"2018",0
"107","374",5.39481891316281,1,"2007","374",5.39481891316281,1,"2018",0
"108","367",5.5288651005257,1,"2007","367",5.5288651005257,1,"2018",0
"109","375",5.3821905133142,1,"2007","375",5.3821905133142,1,"2018",0
"110","376",5.37057574206901,1,"2007","376",5.37057574206901,1,"2018",0
"111","366",5.55973524142359,1,"2007","366",5.55973524142359,1,"2018",0
"112","365",5.5856037806684,1,"2007","365",5.5856037806684,1,"2018",0
"113","364",5.61560510774654,1,"2007","364",5.61560510774654,1,"2018",0
"114","361",5.64376295853353,1,"2007","361",5.64376295853353,1,"2018",0
"115","360",5.66468597550946,1,"2007","360",5.66468597550946,1,"2018",0
"116","352",5.9060923660239,1,"2007","352",5.9060923660239,1,"2018",0
"117","351",5.9665088657777,1,"2007","351",5.9665088657777,1,"2018",0
"118","359",5.78145032298398,1,"2007","359",5.78145032298398,1,"2018",0
"119","353",5.89773603616079,1,"2007","353",5.89773603616079,1,"2018",0
"120","354",5.89349565685682,1,"2007","354",5.89349565685682,1,"2018",0
"121","358",5.83273907921508,1,"2007","358",5.83273907921508,1,"2018",0
"122","355",5.89645456861491,1,"2007","355",5.89645456861491,1,"2018",0
"123","357",5.86224993638655,1,"2007","357",5.86224993638655,1,"2018",0
"124","356",5.884414242435,1,"2007","356",5.884414242435,1,"2018",0
"125","350",6.03871466443171,1,"2007","350",6.03871466443171,1,"2018",0
"126","1352",6.32355029160859,1,"2007","1352",6.32355029160859,1,"2018",0
"127","1351",6.35312392202077,1,"2007","1351",6.35312392202077,1,"2018",0
"128","1350",6.40034154568615,1,"2007","1350",6.40034154568615,1,"2018",0
"129","342",6.85890026282689,1,"2007","342",6.85890026282689,1,"2018",0
"130","341",6.90622825945636,1,"2007","341",6.90622825945636,1,"2018",0
"131","340",6.93326281044788,1,"2007","340",6.93326281044788,1,"2018",0
"132","339",6.99065689955665,1,"2007","339",6.99065689955665,1,"2018",0
"133","64",7.09616476093727,1,"2007","64",7.09616476093727,1,"2018",0
"134","65",7.08276602303287,1,"2007","65",7.08276602303287,1,"2018",0
"135","66",7.07392752771964,1,"2007","66",7.07392752771964,1,"2018",0
"136","60",7.12274694184102,1,"2007","60",7.12274694184102,1,"2018",0
"137","53",7.21950041118479,1,"2007","53",7.21950041118479,1,"2018",0
"138","48",7.28483278233299,1,"2007","48",7.28483278233299,1,"2018",0
"139","52",7.23776481307983,1,"2007","52",7.23776481307983,1,"2018",0
"140","42",7.32741536051002,1,"2007","42",7.32741536051002,1,"2018",0
"141","47",7.30606787094397,1,"2007","47",7.30606787094397,1,"2018",0
"142","43",7.34981297730636,1,"2007","43",7.34981297730636,1,"2018",0
"143","46",7.32414616687595,1,"2007","46",7.32414616687595,1,"2018",0
"144","44",7.36494688624224,1,"2007","44",7.36494688624224,1,"2018",0
"145","45",7.35450629140174,1,"2007","45",7.35450629140174,1,"2018",0
"146","26",7.63575064840388,1,"2007","26",7.63575064840388,1,"2018",0
"147","25",7.64949999550755,1,"2007","25",7.64949999550755,1,"2018",0
"148","9999",7.66144678248624,1,"2007","9999",7.66144678248624,1,"2018",0
"149","21",7.68547986794278,1,"2007","21",7.68547986794278,1,"2018",0
"150","18",7.66789345988029,1,"2007","18",7.66789345988029,1,"2018",0
"151","20",7.70875028703989,1,"2007","20",7.70875028703989,0,"2018",1
"152","19",7.69413526947828,1,"2007","19",7.69413526947828,1,"2018",0
"153","2106",8.28658494800015,1,"2007","2106",8.28658494800015,1,"2018",0
"154","2105",8.02067317279391,1,"2007","2105",8.02067317279391,0,"2018",1
"155","2104",8.02771120543096,1,"2007","2104",8.02771120543096,0,"2018",1
"156","2103",8.03247591909318,1,"2007","2103",8.03247591909318,0,"2018",1
"157","71",8.30854463410965,1,"2007","71",8.30854463410965,1,"2018",0
"158","2102",8.03482348523055,1,"2007","2102",8.03482348523055,0,"2018",1
"159","72",8.33365171976588,1,"2007","72",8.33365171976588,1,"2018",0
"160","2101",8.06054152425516,1,"2007","2101",8.06054152425516,0,"2018",1
"161","2100",8.07057653716185,1,"2007","2100",8.07057653716185,1,"2018",0
"162","73",8.36009280153235,1,"2007","73",8.36009280153235,1,"2018",0
"163","2",8.04233990682571,1,"2007","2",8.04233990682571,1,"2018",0
"164","1",8.04306766940438,1,"2007","1",8.04306766940438,1,"2018",0
"165","74",8.38756874247266,1,"2007","74",8.38756874247266,1,"2018",0
"166","78",8.48854382459106,1,"2007","78",8.48854382459106,1,"2018",0
"167","79",8.51434650613668,1,"2007","79",8.51434650613668,1,"2018",0
"168","90",8.81817967729632,1,"2007","90",8.81817967729632,1,"2018",0
"169","91",8.84741008853954,1,"2007","91",8.84741008853954,1,"2018",0
"170","92",8.87115165512997,1,"2007","92",8.87115165512997,1,"2018",0
"171","93",8.89898933369873,1,"2007","93",8.89898933369873,1,"2018",0
"172","94",8.92511483209849,1,"2007","94",8.92511483209849,1,"2018",0
"173","95",8.9539206113362,1,"2007","95",8.9539206113362,1,"2018",0
"174","96",8.98383807213847,1,"2007","96",8.98383807213847,1,"2018",0
"175","97",9.01370323431777,1,"2007","97",9.01370323431777,1,"2018",0
"176","98",9.04006664335682,1,"2007","98",9.04006664335682,1,"2018",0
"177","99",9.06841937849515,1,"2007","99",9.06841937849515,1,"2018",0
"178","100",9.09671419110341,1,"2007","100",9.09671419110341,0,"2018",1
"179","101",9.12558586319502,1,"2007","101",9.12558586319502,1,"2018",0
"180","102",9.15500963670092,1,"2007","102",9.15500963670092,1,"2018",0
"181","103",9.18190732698724,1,"2007","103",9.18190732698724,1,"2018",0
"182","105",9.2073429873702,1,"2007","105",9.2073429873702,1,"2018",0
"183","104",9.2340867048443,1,"2007","104",9.2340867048443,1,"2018",0
"184","114",9.35653694536765,1,"2007","114",9.35653694536765,0,"2018",1
"185","119",9.50174745380022,1,"2007","119",9.50174745380022,0,"2018",1
"186","120",9.52422463191627,1,"2007","120",9.52422463191627,0,"2018",1
"187","121",9.55162651783908,1,"2007","121",9.55162651783908,0,"2018",1
"188","122",9.58062181794738,1,"2007","122",9.58062181794738,0,"2018",1
"189","123",9.60822134585442,1,"2007","123",9.60822134585442,0,"2018",1
"190","124",9.6353499571709,1,"2007","124",9.6353499571709,0,"2018",1
"191","135",9.86971056948695,1,"2007","135",9.86971056948695,0,"2018",1
"192","131",9.81852137378574,1,"2007","131",9.81852137378574,0,"2018",1
"193","134",9.87751576475705,1,"2007","134",9.87751576475705,0,"2018",1
"194","133",9.85978443856306,1,"2007","133",9.85978443856306,0,"2018",1
"195","132",9.84682046213216,1,"2007","132",9.84682046213216,0,"2018",1
"196","136",9.92656426423949,1,"2007","136",9.92656426423949,0,"2018",1
"197","178",10.3537458452613,1,"2007","178",10.3537458452613,0,"2018",1
"198","177",10.3835438952282,1,"2007","177",10.3835438952282,0,"2018",1
"199","176",10.4135843757173,1,"2007","176",10.4135843757173,0,"2018",1
"200","175",10.443038266686,1,"2007","175",10.443038266686,0,"2018",1
"201","174",10.4582611394354,1,"2007","174",10.4582611394354,1,"2018",0
"202","169",10.4122136616953,1,"2007","169",10.4122136616953,0,"2018",1
"203","168",10.3739368953731,1,"2007","168",10.3739368953731,0,"2018",1
"204","173",10.4804891731452,1,"2007","173",10.4804891731452,0,"2018",1
"205","170",10.4388961602674,1,"2007","170",10.4388961602674,0,"2018",1
"206","171",10.4633578712538,1,"2007","171",10.4633578712538,0,"2018",1
"207","167",10.3965324973748,1,"2007","167",10.3965324973748,0,"2018",1
"208","166",10.3898883420255,1,"2007","166",10.3898883420255,0,"2018",1
"209","156",10.2477453777862,1,"2007","156",10.2477453777862,0,"2018",1
"210","160",10.3010159312995,1,"2007","160",10.3010159312995,0,"2018",1
"211","159",10.2852063006841,1,"2007","159",10.2852063006841,0,"2018",1
"212","161",10.3271548909555,1,"2007","161",10.3271548909555,0,"2018",1
"213","157",10.2683184662909,1,"2007","157",10.2683184662909,0,"2018",1
"214","165",10.4075025246645,1,"2007","165",10.4075025246645,0,"2018",1
"215","164",10.3918732247838,1,"2007","164",10.3918732247838,0,"2018",1
"216","162",10.3565417286071,1,"2007","162",10.3565417286071,0,"2018",1
"217","163",10.378807739132,1,"2007","163",10.378807739132,0,"2018",1
"218","158",10.2958101193052,1,"2007","158",10.2958101193052,0,"2018",1
"219","179",11.0647055704492,1,"2007","179",11.0647055704492,0,"2018",1
"220","185",11.2037426504235,1,"2007","185",11.2037426504235,0,"2018",1
"221","184",11.1867111007216,1,"2007","184",11.1867111007216,0,"2018",1
"222","186",11.2291977536936,1,"2007","186",11.2291977536936,0,"2018",1
"223","187",11.2528649866756,1,"2007","187",11.2528649866756,1,"2018",0
"224","188",11.295005308078,1,"2007","188",11.295005308078,0,"2018",1
