Site_ID,Location,Macrocystis_cover,Nereocystis_cover,timepoint,KeyVariable,Year,HubDist_km,Sample_Date,Latitude,Longitude,Macro_present_ever,Nereo_present_ever,Macro_extinction,Nereo_exinction
148,Flemming,3,0,Original,Original_148,1994,12.00815,19940701,48.88388889,125.1422222,1,0,1,0
148,Flemming,0,0,Resurvey,Resurvey_148,2018,12.00815,19940701,48.88388889,125.1422222,1,0,1,0
148,Flemming,0,0,Resurvey,Resurvey_148,2017,12.00815,19940701,48.88388889,125.1422222,1,0,1,0
148,Flemming,0,0,Resurvey,Resurvey_148,2019,12.00815,19940701,48.88388889,125.1422222,1,0,1,0
149,Swiss Boy,2,2,Original,Original_149,1994,15.8753,19940701,48.91888889,125.1266667,1,1,1,0
149,Swiss Boy,0,1,Resurvey,Resurvey_149,2018,15.8753,19940701,48.91888889,125.1266667,1,1,1,0
161,Flemming,3,0,Original,Original_161,1994,11.60322,19940727,48.87916667,125.1422222,1,0,0,0
161,Flemming,1,0,Resurvey,Resurvey_161,2018,11.60322,19940727,48.87916667,125.1422222,1,0,0,0
161,Flemming,0,0,Resurvey,Resurvey_161,2017,11.60322,19940727,48.87916667,125.1422222,1,0,0,0
161,Flemming,0,0,Resurvey,Resurvey_161,2019,11.60322,19940727,48.87916667,125.1422222,1,0,0,0
161,Flemming,1,0,Resurvey,Resurvey_161,2020,11.60322,19940727,48.87916667,125.1422222,1,0,0,0
